Sidebar;CTRs
Left Sidebar;2.5
Left Sidebar;2.7
Left Sidebar;2.8
Left Sidebar;2.6
Left Sidebar;3
Left Sidebar;2.4
Left Sidebar;2.9
Left Sidebar;2.5
Left Sidebar;2.6
Left Sidebar;2.7
Center Page;3.8
Center Page;3.5
Center Page;4
Center Page;3.7
Center Page;3.9
Center Page;3.6
Center Page;4.1
Center Page;3.4
Center Page;3.8
Center Page;3.9
Right Sidebar;3.1
Right Sidebar;2.9
Right Sidebar;3
Right Sidebar;3.2
Right Sidebar;3.3
Right Sidebar;2.8
Right Sidebar;3.4
Right Sidebar;3.1
Right Sidebar;3.2
Right Sidebar;3.5
